
With: 1 I found next information in your contacts:
----------------------------------------------------------------------------------------------------
-Name------------------Phones----------------------------------Birthday-------------Remain----------
----------------------------------------------------------------------------------------------------
 Sam0                1111111111                                         
 Sam1                1111111112                                         
 Sam1                1111111112                                         
 Sam2                1111111113; 0662803213                             
 Sam2                1111111113; 0662803213                             
 Sam3                1111111114                                         
 John10              3333333333                                         
 John11              3333333344                                         
 John12              3333333355                                         
 John13              3333333366                                         
 John14              3333333377                                         
----------------------------------------------------------------------------------------------------
